CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
B M W ,220   ,BLK,2025,1
B M W ,220   ,GRY,2026,5
B M W ,220I  ,BLK,2026,2
B M W ,230I  ,BLK,2025,2
B M W ,230I  ,BLK,2026,1
B M W ,230I  ,BLU,2026,1
B M W ,230I  ,GRY,2025,1
B M W ,230I  ,GRY,2026,2
B M W ,230I  ,RED,2026,1
B M W ,330   ,BLU,2026,1
B M W ,330   ,GRY,2026,1
B M W ,330I  ,BLK,2025,1
B M W ,330I  ,BLK,2026,9
B M W ,330I  ,BLU,2026,3
B M W ,330I  ,GRY,2026,5
B M W ,330I  ,RED,2026,1
B M W ,330I  ,WHI,2026,6
B M W ,330I T,GRY,2025,1
B M W ,420I  ,BLK,2026,1
B M W ,420I  ,WHI,2026,1
B M W ,420I C,RED,2025,1
B M W ,430I  ,BLK,2025,2
B M W ,430I  ,BLU,2025,1
B M W ,430I  ,GRY,2025,1
B M W ,430I  ,WHI,2025,2
B M W ,520I  ,BLK,2026,1
B M W ,520I S,GRY,2025,1
B M W ,740   ,GRY,2025,1
B M W ,740I  ,GRY,2025,1
B M W ,840I  ,GRY,2026,1
B M W ,C 400 ,BLK,2026,1
B M W ,C400GT,BLU,2026,1
B M W ,F 800 ,BLK,2026,1
B M W ,F 800 ,BLU,2026,2
B M W ,F 900 ,BLU,2026,3
B M W ,F 900 ,GRN,2026,1
B M W ,F800 G,BLK,2026,1
B M W ,G 310 ,BLK,2026,3
B M W ,G 310 ,GRY,2026,2
B M W ,G 310R,BLU,2026,1
B M W ,G310GS,RED,2026,1
B M W ,G310R ,BLK,2026,4
B M W ,G310R ,BLU,2026,1
B M W ,G310R ,GRY,2026,1
B M W ,I4    ,BLK,2026,7
B M W ,I4    ,BLU,2026,1
B M W ,I4    ,GRY,2025,1
B M W ,I4    ,WHI,2025,7
B M W ,I4    ,WHI,2026,3
B M W ,I4 35 ,BLK,2025,1
B M W ,I4 35 ,BLK,2026,3
B M W ,I4 35 ,GRY,2026,1
B M W ,I4 35 ,WHI,2025,1
B M W ,I4 35 ,WHI,2026,1
B M W ,I4 EDR,BLK,2026,2
B M W ,I4 M50,BLK,2025,3
B M W ,I4 M50,GRY,2025,4
B M W ,I5 M60,WHI,2025,1
B M W ,I7    ,WHI,2025,1
B M W ,IX    ,BLK,2025,1
B M W ,IX    ,BLK,2026,5
B M W ,IX    ,GRY,2025,1
B M W ,IX    ,GRY,2026,2
B M W ,IX    ,WHI,2026,1
B M W ,IX 45 ,BLU,2025,1
B M W ,IX 45 ,BLU,2026,1
B M W ,IX 45 ,GRY,2026,1
B M W ,IX 45 ,WHI,2026,1
B M W ,IX X45,BLK,2026,1
B M W ,IX X45,BLU,2026,2
B M W ,IX1   ,BLK,2025,4
B M W ,IX1   ,BLK,2026,6
B M W ,IX1   ,BLU,2025,2
B M W ,IX1   ,BLU,2026,3
B M W ,IX1   ,GRN,2026,1
B M W ,IX1   ,GRY,2026,1
B M W ,IX1   ,SIL,2025,4
B M W ,IX1   ,SIL,2026,2
B M W ,IX1   ,WHI,2025,10
B M W ,IX1   ,WHI,2026,7
B M W ,IX1 30,BLK,2025,1
B M W ,IX1 30,BLK,2026,3
B M W ,IX1 30,BLU,2026,1
B M W ,IX1 30,GRN,2026,3
B M W ,IX1 30,SIL,2025,1
B M W ,IX1 30,SIL,2026,1
B M W ,IX1 30,WHI,2025,1
B M W ,IX1 30,WHI,2026,2
B M W ,IX2   ,BLK,2025,7
B M W ,IX2   ,BLK,2026,1
B M W ,IX2   ,BLU,2025,6
B M W ,IX2   ,BLU,2026,1
B M W ,IX2   ,GRN,2025,1
B M W ,IX2   ,GRY,2025,6
B M W ,IX2   ,GRY,2026,7
B M W ,IX2   ,MRN,2025,1
B M W ,IX2   ,RED,2025,5
B M W ,IX2   ,RED,2026,1
B M W ,IX2   ,WHI,2025,4
B M W ,IX2   ,WHI,2026,3
B M W ,IX2 20,BLK,2025,1
B M W ,IX2 20,RED,2025,2
B M W ,IX2 30,BLK,2026,2
