CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL,CLEAN_MAKE_VEH
B Y D ,SEALIO,BEI,2025,1,BYD
B Y D ,SEALIO,BLK,2025,173,BYD
B Y D ,SEALIO,BLK,2026,55,BYD
B Y D ,SEALIO,BLU,2025,49,BYD
B Y D ,SEALIO,BLU,2026,4,BYD
B Y D ,SEALIO,BRN,2025,1,BYD
B Y D ,SEALIO,GRN,2025,31,BYD
B Y D ,SEALIO,GRN,2026,15,BYD
B Y D ,SEALIO,GRY,2025,329,BYD
B Y D ,SEALIO,GRY,2026,86,BYD
B Y D ,SEALIO,TUR,2026,1,BYD
B Y D ,SEALIO,WHI,2025,269,BYD
B Y D ,SEALIO,WHI,2026,94,BYD
B Y D ,SHARK ,BLK,2025,65,BYD
B Y D ,SHARK ,BLK,2026,14,BYD
B Y D ,SHARK ,BLU,2025,15,BYD
B Y D ,SHARK ,BLU,2026,11,BYD
B Y D ,SHARK ,GRN,2025,1,BYD
B Y D ,SHARK ,GRN,2026,1,BYD
B Y D ,SHARK ,GRY,2025,28,BYD
B Y D ,SHARK ,GRY,2026,15,BYD
B Y D ,SHARK ,OGE,2025,20,BYD
B Y D ,SHARK ,OGE,2026,10,BYD
B Y D ,SHARK ,WHI,2025,47,BYD
B Y D ,SHARK ,WHI,2026,28,BYD
B Y D ,SHARK6,BLK,2025,12,BYD
B Y D ,SHARK6,BLK,2026,1,BYD
B Y D ,SHARK6,BLU,2025,1,BYD
B Y D ,SHARK6,BLU,2026,4,BYD
B Y D ,SHARK6,GRY,2025,4,BYD
B Y D ,SHARK6,GRY,2026,28,BYD
B Y D ,SHARK6,OGE,2025,4,BYD
B Y D ,SHARK6,OGE,2026,1,BYD
B Y D ,SHARK6,WHI,2025,17,BYD
B Y D ,SHARK6,WHI,2026,2,BYD
B Y D ,SR    ,WHI,2025,1,BYD
B Y D ,TZ200X,BLK,2026,1,BYD
B Y D ,TZ220X,GRN,2025,1,BYD
BENT  ,BENTAY,GRN,2026,1,BENTLEY
BETA  ,300RR ,RED,2026,1,BETA
BETA  ,ENDURO,RED,2025,1,BETA
BETA  ,RR 300,RED,2025,1,BETA
BETA  ,RR200 ,BLU,2025,1,BETA
BETA  ,RR250 ,RED,2026,1,BETA
BETA  ,RR300 ,BLU,2025,1,BETA
BETA  ,RR300 ,RED,2025,1,BETA
BETA  ,XT300 ,GRY,2025,3,BETA
BOBCAT,S770  ,WHI,2026,1,BOBCAT
BOBCAT,T450  ,WHI,2026,1,BOBCAT
BOBCAT,TL3060,WHI,2026,1,BOBCAT
BOBCAT,TL38 7,WHI,2025,1,BOBCAT
BOBCAT,UT6580,WHI,2026,1,BOBCAT
BRAAAP,CRUISE,RED,2026,1,BRAAAP
CAD   ,LYRIQ ,BLK,2025,3,CADILLAC
CAD   ,LYRIQ ,RED,2025,1,CADILLAC
CAD   ,LYRIQ ,SIL,2025,2,CADILLAC
CAD   ,OPTIQ ,BLK,2026,1,CADILLAC
CAD   ,VISTIQ,SIL,2026,2,CADILLAC
CAN AM,DEFEND,BLK,2026,1,CAN-AM
CAN AM,DEFEND,FWN,2026,1,CAN-AM
CAN AM,DEFEND,YLW,2025,2,CAN-AM
CAN AM,DEFLTD,BLU,2026,1,CAN-AM
CAN AM,HD9 XU,YLW,2025,2,CAN-AM
CASE  ,FARMAL,RED,2025,1,CASE
CFMOTO,      ,GRN,2025,1,CFMOTO
CFMOTO,      ,SIL,2026,1,CFMOTO
CFMOTO,150SC ,BLK,2025,2,CFMOTO
CFMOTO,150SC ,BLK,2026,1,CFMOTO
CFMOTO,150SC ,SIL,2025,1,CFMOTO
CFMOTO,150SC ,SIL,2026,1,CFMOTO
CFMOTO,300NK ,BLK,2025,10,CFMOTO
CFMOTO,300NK ,BLU,2025,1,CFMOTO
CFMOTO,400NK ,BLK,2026,1,CFMOTO
CFMOTO,450 MT,BLK,2026,1,CFMOTO
CFMOTO,450CLC,BLK,2025,5,CFMOTO
CFMOTO,450CLC,BLK,2026,1,CFMOTO
CFMOTO,450CLC,WHI,2025,1,CFMOTO
CFMOTO,450MT ,BLK,2025,3,CFMOTO
CFMOTO,450MT ,BLK,2026,15,CFMOTO
CFMOTO,450MT ,BLU,2025,3,CFMOTO
CFMOTO,450MT ,BLU,2026,9,CFMOTO
CFMOTO,450MT ,GRY,2025,5,CFMOTO
CFMOTO,450NK ,WHI,2025,2,CFMOTO
CFMOTO,450SR ,BLK,2025,3,CFMOTO
CFMOTO,450SR ,BLK,2026,1,CFMOTO
CFMOTO,450SR ,WHI,2025,5,CFMOTO
CFMOTO,450SR ,WHI,2026,1,CFMOTO
CFMOTO,450SRS,BLK,2026,5,CFMOTO
CFMOTO,450SRS,WHI,2025,1,CFMOTO
CFMOTO,450SRS,WHI,2026,3,CFMOTO
CFMOTO,675 NK,GRY,2026,1,CFMOTO
CFMOTO,675NK ,WHI,2025,1,CFMOTO
CFMOTO,675SRR,BLK,2025,2,CFMOTO
CFMOTO,675SRR,GRY,2025,1,CFMOTO
CFMOTO,675SRR,GRY,2026,2,CFMOTO
CFMOTO,675SRR,WHI,2025,1,CFMOTO
CFMOTO,675SRS,WHI,2025,1,CFMOTO
CFMOTO,700MT ,WHI,2025,1,CFMOTO
CFMOTO,800 MT,BLU,2026,1,CFMOTO
CFMOTO,800MT ,BLK,2025,4,CFMOTO
CFMOTO,800NK ,BLK,2025,1,CFMOTO
CFMOTO,A     ,BLU,2026,1,CFMOTO
CFMOTO,C400  ,GRN,2026,1,CFMOTO
CFMOTO,CF1000,BLU,2025,1,CFMOTO
CFMOTO,CF250 ,BLU,2026,1,CFMOTO
CFMOTO,CF520 ,RED,2026,1,CFMOTO
CFMOTO,CF8001,BLK,2025,1,CFMOTO
CFMOTO,CL250 ,GRN,2025,1,CFMOTO
CFMOTO,CLX 70,BLU,2025,1,CFMOTO
CFMOTO,ML450 ,BLK,2026,1,CFMOTO
CFMOTO,ML450 ,BLU,2026,1,CFMOTO
CFMOTO,MT EXP,WHI,2025,1,CFMOTO
CFMOTO,MTX800,BLU,2026,1,CFMOTO
CFMOTO,NK800 ,BLK,2025,1,CFMOTO
CFMOTO,PAPIO ,AQU,2026,1,CFMOTO
CFMOTO,PAPIO ,BLU,2026,1,CFMOTO
CFMOTO,SC150 ,BLK,2025,1,CFMOTO
CFMOTO,SC150 ,SIL,2026,3,CFMOTO
CFMOTO,U600  ,BLU,2026,1,CFMOTO
CFMOTO,U600  ,GRN,2026,1,CFMOTO
CFMOTO,U600  ,SIL,2026,1,CFMOTO
CFMOTO,UFORCE,GRY,2025,1,CFMOTO
CFMOTO,UFORCE,KHA,2026,1,CFMOTO
CFMOTO,UV6   ,SIL,2026,1,CFMOTO
CFMOTO,VFORCE,BLU,2025,1,CFMOTO
CFMOTO,XO PAP,BLU,2026,1,CFMOTO
CHERY ,C5    ,BLK,2025,4,CHERY
CHERY ,C5    ,BLK,2026,43,CHERY
CHERY ,C5    ,GRY,2025,8,CHERY
CHERY ,C5    ,GRY,2026,18,CHERY
CHERY ,C5    ,RED,2025,5,CHERY
CHERY ,C5    ,RED,2026,5,CHERY
CHERY ,C5    ,SIL,2025,3,CHERY
CHERY ,C5    ,SIL,2026,4,CHERY
CHERY ,C5    ,WHI,2025,21,CHERY
CHERY ,C5    ,WHI,2026,6,CHERY
CHERY ,C5 OMO,WHI,2026,1,CHERY
CHERY ,C5 ULT,BLK,2026,7,CHERY
CHERY ,C5 ULT,GRY,2025,1,CHERY
CHERY ,C5 ULT,RED,2026,1,CHERY
CHERY ,C5 ULT,SIL,2025,2,CHERY
CHERY ,C5 ULT,SIL,2026,1,CHERY
CHERY ,C5 ULT,WHI,2025,3,CHERY
CHERY ,C5 URB,BLK,2025,1,CHERY
CHERY ,C5 URB,RED,2025,1,CHERY
CHERY ,C5 URB,SIL,2026,1,CHERY
CHERY ,C5 URB,WHI,2025,1,CHERY
CHERY ,E5    ,BLK,2025,2,CHERY
CHERY ,E5    ,BLK,2026,1,CHERY
CHERY ,E5    ,GRN,2025,1,CHERY
CHERY ,E5    ,RED,2026,1,CHERY
CHERY ,E5    ,SIL,2025,1,CHERY
CHERY ,E5    ,SIL,2026,1,CHERY
CHERY ,E5    ,WHI,2025,9,CHERY
CHERY ,E5 BEV,WHI,2025,1,CHERY
CHERY ,E5 ULT,BLK,2025,1,CHERY
CHERY ,J5    ,GRY,2026,1,CHERY
CHERY ,J5  SU,BLU,2026,1,CHERY
CHERY ,MG U9 ,GRN,2026,1,CHERY
CHERY ,MY25 C,BLK,2025,1,CHERY
CHERY ,MY25 C,RED,2025,1,CHERY
CHERY ,MY25 C,WHI,2026,1,CHERY
CHERY ,MY25 U,BLK,2026,1,CHERY
CHERY ,MY26 T,BLK,2025,2,CHERY
CHERY ,MY26 T,GRN,2025,1,CHERY
CHERY ,MY26 T,GRY,2025,4,CHERY
CHERY ,MY26 T,RED,2025,1,CHERY
CHERY ,MY26 T,WHI,2025,4,CHERY
CHERY ,MY26 T,WHI,2026,1,CHERY
CHERY ,OMODA ,BLK,2026,7,CHERY
CHERY ,OMODA ,GRY,2026,2,CHERY
CHERY ,OMODA ,WHI,2025,4,CHERY
CHERY ,T34   ,WHI,2026,1,CHERY
CHERY ,T4 ULT,WHI,2025,1,CHERY
CHERY ,T4 URB,GRY,2026,1,CHERY
CHERY ,T4 URB,WHI,2025,1,CHERY
CHERY ,T8 ULT,WHI,2025,1,CHERY
CHERY ,TI    ,RED,2025,1,CHERY
CHERY ,TIGGO ,BLK,2025,160,CHERY
CHERY ,TIGGO ,BLK,2026,42,CHERY
CHERY ,TIGGO ,BLU,2025,24,CHERY
CHERY ,TIGGO ,BLU,2026,7,CHERY
CHERY ,TIGGO ,GRN,2025,26,CHERY
CHERY ,TIGGO ,GRN,2026,8,CHERY
CHERY ,TIGGO ,GRY,2025,187,CHERY
CHERY ,TIGGO ,GRY,2026,114,CHERY
CHERY ,TIGGO ,RED,2025,105,CHERY
CHERY ,TIGGO ,RED,2026,20,CHERY
CHERY ,TIGGO ,SIL,2025,94,CHERY
CHERY ,TIGGO ,SIL,2026,19,CHERY
CHERY ,TIGGO ,TUR,2025,1,CHERY
CHERY ,TIGGO ,TUR,2026,1,CHERY
CHERY ,TIGGO ,WHI,2025,195,CHERY
CHERY ,TIGGO ,WHI,2026,52,CHERY
CHERY ,TIGGO4,BLK,2025,3,CHERY
CHERY ,TIGGO4,GRY,2025,3,CHERY
CHERY ,TIGGO4,GRY,2026,7,CHERY
CHERY ,TIGGO4,RED,2025,3,CHERY
CHERY ,TIGGO4,RED,2026,5,CHERY
CHERY ,TIGGO4,SIL,2025,5,CHERY
CHERY ,TIGGO4,SIL,2026,2,CHERY
CHERY ,TIGGO4,WHI,2025,3,CHERY
CHERY ,TIGGO4,WHI,2026,3,CHERY
CHERY ,TIGGO7,BLK,2025,1,CHERY
CHERY ,TIGGO7,GRY,2026,1,CHERY
CHERY ,TIGGO7,SIL,2025,1,CHERY
CHERY ,TIGGO8,BLU,2025,1,CHERY
CHERY ,TIGGO8,GRY,2025,1,CHERY
CHERY ,TIGGO8,WHI,2025,1,CHERY
CHERY ,TIGGO9,GRN,2025,1,CHERY
CHERY ,TIGGO9,GRY,2026,1,CHERY
CHERY ,TIGGO9,WHI,2025,1,CHERY
CHERY ,TIGO 4,WHI,2025,1,CHERY
CHERY ,TIGOG ,BLK,2025,1,CHERY
CHERY ,TOGGO ,RED,2026,1,CHERY
CHERY ,WAGON ,BLK,2026,1,CHERY
CHEV  ,CORVET,RED,2026,2,CHEVROLET
CHEV  ,SILVAR,BLK,2026,1,CHEVROLET
CHEV  ,SILVAR,GRY,2026,1,CHEVROLET
CHEV  ,SILVAR,WHI,2026,1,CHEVROLET
CHEV  ,SILVER,BLK,2025,5,CHEVROLET
CHEV  ,SILVER,BLK,2026,14,CHEVROLET
CHEV  ,SILVER,BLU,2026,3,CHEVROLET
CHEV  ,SILVER,GRN,2026,1,CHEVROLET
CHEV  ,SILVER,GRY,2025,1,CHEVROLET
CHEV  ,SILVER,GRY,2026,5,CHEVROLET
CHEV  ,SILVER,RED,2025,1,CHEVROLET
CHEV  ,SILVER,RED,2026,2,CHEVROLET
CHEV  ,SILVER,WHI,2025,6,CHEVROLET
CHEV  ,SILVER,WHI,2026,13,CHEVROLET
CUPRA ,ATECA ,BLK,2025,7,CUPRA
CUPRA ,ATECA ,GRY,2025,2,CUPRA
CUPRA ,ATECA ,WHI,2025,1,CUPRA
CUPRA ,FORMEN,BLK,2025,5,CUPRA
CUPRA ,FORMEN,GRY,2025,19,CUPRA
CUPRA ,FORMEN,RED,2025,2,CUPRA
CUPRA ,LEON  ,GRY,2025,1,CUPRA
CUPRA ,LEON  ,PUR,2025,1,CUPRA
CUPRA ,TAVASC,BEI,2026,1,CUPRA
CUPRA ,TAVASC,BLU,2025,2,CUPRA
CUPRA ,TAVASC,BLU,2026,3,CUPRA
CUPRA ,TAVASC,GRY,2025,4,CUPRA
CUPRA ,TAVASC,GRY,2026,1,CUPRA
CUPRA ,TAVASC,WHI,2025,1,CUPRA
CUPRA ,TERRAM,BLK,2025,3,CUPRA
CUPRA ,TERRAM,BLU,2025,2,CUPRA
CUPRA ,TERRAM,BLU,2026,2,CUPRA
CUPRA ,TERRAM,GRY,2025,1,CUPRA
CUPRA ,TERRAM,GRY,2026,1,CUPRA
CUPRA ,TERRAM,PUR,2025,1,CUPRA
CUPRA ,TERRAM,PUR,2026,1,CUPRA
CUPRA ,TERRAM,WHI,2025,2,CUPRA
DAF   ,CF 17 ,WHI,2025,1,DAF
DAF   ,PUTZME,WHI,2026,1,DAF
DEEPAL,EO7   ,WHI,2025,1,DEEPAL
DEEPAL,S07   ,BLK,2025,1,DEEPAL
DEEPAL,S07   ,BLK,2026,5,DEEPAL
DEEPAL,S07   ,GRN,2025,2,DEEPAL
DEEPAL,S07   ,GRY,2026,5,DEEPAL
DEEPAL,S07   ,OGE,2026,1,DEEPAL
DEEPAL,S07   ,WHI,2025,1,DEEPAL
DEEPAL,S07   ,WHI,2026,2,DEEPAL
DEEPAL,S07   ,YLW,2026,2,DEEPAL
DENZA ,B5    ,BLK,2025,21,DENZA
DENZA ,B5    ,BLU,2025,12,DENZA
DENZA ,B5    ,BLU,2026,1,DENZA
DENZA ,B5    ,GRN,2025,5,DENZA
DENZA ,B5    ,GRN,2026,1,DENZA
DENZA ,B5    ,GRY,2025,20,DENZA
DENZA ,B5    ,GRY,2026,2,DENZA
DENZA ,B5    ,SIL,2025,2,DENZA
DENZA ,B5L   ,BLK,2025,2,DENZA
DENZA ,B5L   ,BLU,2025,2,DENZA
DENZA ,B5L   ,BLU,2026,2,DENZA
DENZA ,B5L   ,GRN,2026,1,DENZA
DENZA ,B5L   ,GRY,2025,7,DENZA
DENZA ,B5L   ,GRY,2026,1,DENZA
DENZA ,B8    ,BLK,2025,8,DENZA
DENZA ,B8    ,GLD,2025,3,DENZA
DENZA ,B8    ,SIL,2025,5,DENZA
DENZA ,B8    ,SIL,2026,1,DENZA
DENZA ,D9    ,BLK,2025,1,DENZA
DEVELO,SD320H,OGE,2026,1,DEVELON
DODGE ,CHALL ,BLK,2026,1,DODGE
DODGE ,R A M ,GRY,2025,1,DODGE
DUCATI,DIAVEL,RED,2025,1,DUCATI
DUCATI,HYPERM,RED,2025,1,DUCATI
DUCATI,MONSTE,BLK,2025,1,DUCATI
DUCATI,MONSTE,RED,2025,2,DUCATI
DUCATI,MULTIS,RED,2025,1,DUCATI
DUCATI,PANIGA,BLK,2026,2,DUCATI
DUCATI,PANIGA,RED,2025,3,DUCATI
DUCATI,SCRAMB,GRN,2026,1,DUCATI
DUCATI,STREET,RED,2025,1,DUCATI
DUCATI,STREET,RED,2026,1,DUCATI
ENFLD ,BUL65 ,GRN,2026,1,LDV
ENFORC,08LITH,RED,2026,1,ENFORCER
ENFORC,08LITS,RED,2025,1,ENFORCER
ENFORC,FLDAXF,RED,2026,1,ENFORCER
ENFORC,FLDAXT,RED,2026,1,ENFORCER
EP    ,CPD18T,RED,2026,1,DEEPAL
F LINE,CASCAD,WHI,2026,1,FUTUR LINE
FANTIC,XEF310,WHI,2025,1,FANTIC MOTOR
FARIZO,SUPERV,WHI,2025,1,FARIZON
FARIZO,SUPERV,WHI,2026,4,FARIZON
FENDT ,616   ,GRN,2025,1,FENDT
FENDT ,618   ,GRN,2025,1,FENDT
FENDT ,618   ,GRN,2026,1,FENDT
FENDT ,620 VA,GRN,2026,1,FENDT
FENDT ,720   ,GRN,2026,2,FENDT
FENDT ,724   ,GRN,2025,1,FENDT
FENDT ,930VG7,GRN,2025,1,FENDT
FERRAR,12CILI,BLK,2026,1,FERRARI
FERRAR,12CILI,GRY,2026,1,FERRARI
FERRAR,K105  ,GRN,2026,2,FERRARI
FIAT  ,500E  ,GLD,2025,1,FIAT
FIAT  ,500E  ,WHI,2025,4,FIAT
FIAT  ,DESTIN,WHI,2026,2,FIAT
FIAT  ,DUCATI,WHI,2025,1,FIAT
FIAT  ,DUCATO,GRY,2026,1,FIAT
FIAT  ,DUCATO,WHI,2025,3,FIAT
FIAT  ,DUCATO,WHI,2026,15,FIAT
FIAT  ,FD 19 ,WHI,2026,7,FIAT
FIAT  ,IN3   ,WHI,2026,3,FIAT
FIAT  ,IN3   ,YLW,2026,1,FIAT
FIAT  ,IN600 ,WHI,2026,2,FIAT
FIAT  ,IND600,WHI,2026,1,FIAT
FIAT  ,JRV   ,WHI,2025,1,FIAT
FIAT  ,SCUDO ,WHI,2026,2,FIAT
FIAT  ,SIGNAT,WHI,2025,1,FIAT
FIAT  ,V 6442,WHI,2026,1,FIAT
FL TOY,HIACE ,WHI,2025,1,TOYOTA
FLFORD,TRANSI,WHI,2026,1,FORD
FORD  ,ATTO 2,WHI,2026,1,FORD
FORD  ,ERVERE,GRY,2026,1,FORD
FORD  ,EVERER,GRY,2026,1,FORD
FORD  ,EVERES,BLK,2025,8,FORD
FORD  ,EVERES,BLK,2026,104,FORD
FORD  ,EVERES,BLU,2025,2,FORD
FORD  ,EVERES,BLU,2026,28,FORD
FORD  ,EVERES,BRZ,2026,35,FORD
FORD  ,EVERES,GRY,2025,27,FORD
FORD  ,EVERES,GRY,2026,100,FORD
FORD  ,EVERES,SIL,2025,19,FORD
FORD  ,EVERES,SIL,2026,79,FORD
FORD  ,EVERES,WHI,2025,31,FORD
FORD  ,EVERES,WHI,2026,154,FORD
FORD  ,F 150 ,BLU,2026,1,FORD
FORD  ,F 150 ,GRY,2025,1,FORD
FORD  ,F150  ,BLK,2025,5,FORD
FORD  ,F150  ,BLK,2026,1,FORD
FORD  ,F150  ,BLU,2025,2,FORD
FORD  ,F150  ,BLU,2026,3,FORD
FORD  ,F150  ,GRY,2025,9,FORD
FORD  ,F150  ,GRY,2026,1,FORD
FORD  ,F150  ,RED,2025,2,FORD
FORD  ,F150  ,SIL,2025,4,FORD
FORD  ,F150  ,WHI,2025,4,FORD
FORD  ,F150  ,WHI,2026,3,FORD
FORD  ,F150 P,BLK,2025,1,FORD
FORD  ,F150 P,GRY,2025,1,FORD
FORD  ,F150 P,WHI,2025,2,FORD
FORD  ,F150 X,SIL,2025,1,FORD
FORD  ,F150 X,WHI,2025,1,FORD
FORD  ,F350  ,GRY,2025,1,FORD
FORD  ,MACH E,BLU,2025,1,FORD
FORD  ,MACH E,WHI,2025,1,FORD
FORD  ,MUSTAN,BLK,2025,21,FORD
FORD  ,MUSTAN,BLU,2025,24,FORD
FORD  ,MUSTAN,BLU,2026,1,FORD
FORD  ,MUSTAN,GRY,2025,8,FORD
FORD  ,MUSTAN,OGE,2026,1,FORD
FORD  ,MUSTAN,PUR,2025,1,FORD
FORD  ,MUSTAN,RED,2025,17,FORD
FORD  ,MUSTAN,RED,2026,1,FORD
FORD  ,MUSTAN,SIL,2025,4,FORD
FORD  ,MUSTAN,WHI,2025,9,FORD
FORD  ,MUSTAN,YLW,2025,2,FORD
FORD  ,RANGER,BEI,2026,1,FORD
FORD  ,RANGER,BLK,2025,66,FORD
FORD  ,RANGER,BLK,2026,113,FORD
FORD  ,RANGER,BLU,2025,7,FORD
FORD  ,RANGER,BLU,2026,17,FORD
FORD  ,RANGER,BRZ,2026,4,FORD
FORD  ,RANGER,GLD,2026,3,FORD
FORD  ,RANGER,GRY,2025,120,FORD
FORD  ,RANGER,GRY,2026,161,FORD
FORD  ,RANGER,OGE,2025,2,FORD
FORD  ,RANGER,OGE,2026,3,FORD
FORD  ,RANGER,RED,2025,3,FORD
FORD  ,RANGER,RED,2026,1,FORD
FORD  ,RANGER,SIL,2025,37,FORD
FORD  ,RANGER,SIL,2026,97,FORD
FORD  ,RANGER,TAN,2025,2,FORD
FORD  ,RANGER,TAN,2026,7,FORD
FORD  ,RANGER,WHI,2025,120,FORD
FORD  ,RANGER,WHI,2026,394,FORD
FORD  ,RANGER,YLW,2025,1,FORD
FORD  ,RANGER,YLW,2026,4,FORD
FORD  ,RAPTOR,BLK,2025,1,FORD
FORD  ,RAPTOR,BLK,2026,2,FORD
FORD  ,RAPTOR,GRY,2026,4,FORD
FORD  ,RAPTOR,OGE,2026,1,FORD
FORD  ,RAPTOR,WHI,2025,2,FORD
FORD  ,RAPTOR,WHI,2026,1,FORD
FORD  ,SEALIO,BLK,2026,1,FORD
FORD  ,SEALIO,WHI,2026,1,FORD
FORD  ,SUPER ,SIL,2025,1,FORD
FORD  ,SUPERD,GRY,2026,2,FORD
FORD  ,SUPERD,WHI,2026,1,FORD
FORD  ,TOUARE,GRY,2026,1,FORD
FORD  ,TOURNE,BLK,2026,1,FORD
FORD  ,TOURNE,WHI,2025,1,FORD
FORD  ,TRANSI,BLK,2025,1,FORD
FORD  ,TRANSI,BLK,2026,2,FORD
FORD  ,TRANSI,BLU,2025,1,FORD
FORD  ,TRANSI,BLU,2026,2,FORD
FORD  ,TRANSI,GRY,2025,2,FORD
FORD  ,TRANSI,GRY,2026,17,FORD
FORD  ,TRANSI,RED,2025,1,FORD
FORD  ,TRANSI,SIL,2026,3,FORD
FORD  ,TRANSI,WHI,2025,6,FORD
FORD  ,TRANSI,WHI,2026,60,FORD
FORD  ,TRASNI,WHI,2026,1,FORD
FORD  ,WILDTR,GRY,2026,1,FORD
FOTON ,P4    ,BLK,2026,1,FOTON
FOTON ,T5    ,WHI,2026,3,FOTON
FOTON ,TUNLAN,BLK,2025,1,FOTON
FOTON ,TUNLAN,BLK,2026,3,FOTON
FOTON ,TUNLAN,BLU,2025,1,FOTON
FOTON ,TUNLAN,BLU,2026,1,FOTON
FOTON ,TUNLAN,GRN,2025,2,FOTON
FOTON ,TUNLAN,GRY,2025,3,FOTON
FOTON ,TUNLAN,GRY,2026,2,FOTON
FOTON ,TUNLAN,PUR,2025,1,FOTON
FOTON ,TUNLAN,SIL,2025,3,FOTON
FOTON ,TUNLAN,SIL,2026,4,FOTON
FOTON ,TUNLAN,WHI,2025,3,FOTON
FOTON ,TUNLAN,WHI,2026,3,FOTON
FUSO  ,CANTER,WHI,2025,18,FUSO
FUSO  ,CANTER,WHI,2026,8,FUSO
FUSO  ,E6 CAN,WHI,2026,1,FUSO
FUSO  ,ECANTE,WHI,2025,1,FUSO
FUSO  ,FEA61B,WHI,2026,1,FUSO
FUSO  ,FEB21E,WHI,2025,3,FUSO
FUSO  ,FEB71E,WHI,2025,1,FUSO
FUSO  ,FIGHTE,WHI,2025,9,FUSO
FUSO  ,FIGHTE,WHI,2026,2,FUSO
FUSO  ,FK62FL,WHI,2025,1,FUSO
FUSO  ,FK65FL,WHI,2025,1,FUSO
FUSO  ,FM67FS,WHI,2025,1,FUSO
FUSO  ,FP74HG,WHI,2026,2,FUSO
FUSO  ,FV80HK,WHI,2025,1,FUSO
FUSO  ,SHOGUN,WHI,2025,6,FUSO
FUSO  ,SHOGUN,WHI,2026,1,FUSO
G M C ,YUKON ,BLK,2025,2,GMC
G M C ,YUKON ,BLK,2026,1,GMC
G M C ,YUKON ,GRY,2025,1,GMC
G M C ,YUKON ,WHI,2025,1,GMC
G M C ,YUKON ,WHI,2026,2,GMC
G WALL,CANNON,BLK,2025,42,GREAT WALL
G WALL,CANNON,BLK,2026,21,GREAT WALL
G WALL,CANNON,BLU,2025,10,GREAT WALL
G WALL,CANNON,BLU,2026,6,GREAT WALL
G WALL,CANNON,GRY,2025,10,GREAT WALL
G WALL,CANNON,GRY,2026,18,GREAT WALL
G WALL,CANNON,RED,2025,6,GREAT WALL
G WALL,CANNON,RED,2026,6,GREAT WALL
G WALL,CANNON,SIL,2025,14,GREAT WALL
G WALL,CANNON,SIL,2026,15,GREAT WALL
G WALL,CANNON,WHI,2025,44,GREAT WALL
G WALL,CANNON,WHI,2026,58,GREAT WALL
G WALL,CANON ,SIL,2026,1,GREAT WALL
G WALL,H6    ,BLK,2025,5,GREAT WALL
G WALL,H6    ,BLK,2026,4,GREAT WALL
G WALL,H6    ,BLU,2025,1,GREAT WALL
G WALL,H6    ,BLU,2026,1,GREAT WALL
G WALL,H6    ,GLD,2025,1,GREAT WALL
G WALL,H6    ,GLD,2026,1,GREAT WALL
G WALL,H6    ,GRY,2025,1,GREAT WALL
G WALL,H6    ,GRY,2026,1,GREAT WALL
G WALL,H6    ,WHI,2025,7,GREAT WALL
G WALL,H6    ,WHI,2026,2,GREAT WALL
G WALL,H6 GT ,RED,2025,1,GREAT WALL
G WALL,H6 GT ,WHI,2025,2,GREAT WALL
G WALL,H7    ,WHI,2025,2,GREAT WALL
G WALL,H7    ,WHI,2026,1,GREAT WALL
G WALL,HAVAL ,BLK,2025,10,GREAT WALL
G WALL,HAVAL ,BLK,2026,9,GREAT WALL
G WALL,HAVAL ,BLU,2025,1,GREAT WALL
G WALL,HAVAL ,BLU,2026,2,GREAT WALL
G WALL,HAVAL ,CRM,2026,2,GREAT WALL
G WALL,HAVAL ,GLD,2026,1,GREAT WALL
G WALL,HAVAL ,GRY,2025,9,GREAT WALL
G WALL,HAVAL ,GRY,2026,9,GREAT WALL
G WALL,HAVAL ,WHI,2025,20,GREAT WALL
G WALL,HAVAL ,WHI,2026,18,GREAT WALL
G WALL,JOLION,BLK,2026,13,GREAT WALL
G WALL,JOLION,BLU,2025,2,GREAT WALL
G WALL,JOLION,BLU,2026,1,GREAT WALL
G WALL,JOLION,GRY,2025,3,GREAT WALL
G WALL,JOLION,GRY,2026,19,GREAT WALL
G WALL,JOLION,RED,2026,1,GREAT WALL
G WALL,JOLION,WHI,2025,2,GREAT WALL
G WALL,JOLION,WHI,2026,21,GREAT WALL
G WALL,ORA   ,BLK,2025,3,GREAT WALL
G WALL,ORA   ,BLK,2026,6,GREAT WALL
G WALL,ORA   ,GRN,2025,1,GREAT WALL
G WALL,ORA   ,GRN,2026,11,GREAT WALL
G WALL,ORA   ,GRY,2025,2,GREAT WALL
G WALL,ORA   ,GRY,2026,4,GREAT WALL
G WALL,ORA   ,RED,2026,6,GREAT WALL
G WALL,ORA   ,WHI,2025,3,GREAT WALL
G WALL,ORA   ,WHI,2026,21,GREAT WALL
G WALL,ORA 5 ,GRY,2026,1,GREAT WALL
G WALL,ORA 58,BLK,2026,2,GREAT WALL
G WALL,ORA 58,RED,2026,1,GREAT WALL
G WALL,ORA 63,GRY,2026,1,GREAT WALL
G WALL,ORA EV,GRN,2026,1,GREAT WALL
G WALL,ORA GT,BLK,2025,1,GREAT WALL
G WALL,ORA GT,BLK,2026,2,GREAT WALL
G WALL,ORA GT,GRY,2025,1,GREAT WALL
G WALL,ORA GT,RED,2026,1,GREAT WALL
G WALL,ORA GT,WHI,2026,1,GREAT WALL
G WALL,ORA LU,GRN,2026,2,GREAT WALL
G WALL,ORA LU,RED,2026,2,GREAT WALL
