CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL,CLEAN_MAKE_VEH
AUDI  ,SQ5   ,GRY,2026,4,AUDI
AUDI  ,SQ5   ,WHI,2026,7,AUDI
AUDI  ,SQ6   ,BLK,2025,1,AUDI
AUDI  ,SQ6   ,GRY,2025,1,AUDI
AUDI  ,SQ6 ET,BLK,2026,1,AUDI
AUDI  ,SQ7   ,WHI,2026,1,AUDI
AUSA  ,C351HX,RED,2026,1,AUSA
AVANT ,860I  ,GRN,2025,1,AVANT
AVANT ,860I  ,GRN,2026,1,AVANT
B C I ,PK6127,WHI,2026,1,BCI
B M W ,1 SERI,GRY,2025,1,BMW
B M W ,118   ,BLK,2025,1,BMW
B M W ,118   ,GRY,2025,2,BMW
B M W ,118   ,PUR,2025,1,BMW
B M W ,118   ,WHI,2025,1,BMW
B M W ,118 HA,BLK,2025,1,BMW
B M W ,118 HA,WHI,2025,1,BMW
B M W ,118I  ,BLK,2025,2,BMW
B M W ,118I  ,BLU,2025,1,BMW
B M W ,118I  ,BLU,2026,1,BMW
B M W ,118I  ,PUR,2025,2,BMW
B M W ,120   ,BLK,2025,3,BMW
B M W ,120   ,BLK,2026,3,BMW
B M W ,120   ,GRY,2026,1,BMW
B M W ,120   ,WHI,2025,1,BMW
B M W ,120 HA,GRY,2026,1,BMW
B M W ,1X1   ,WHI,2025,1,BMW
B M W ,1X2   ,WHI,2025,1,BMW
B M W ,218   ,BLK,2025,1,BMW
B M W ,218   ,BLU,2025,1,BMW
B M W ,218 GR,BLK,2025,1,BMW
B M W ,218I  ,GRY,2025,1,BMW
B M W ,220   ,BLK,2025,1,BMW
B M W ,220   ,GRY,2026,5,BMW
B M W ,220I  ,BLK,2026,2,BMW
B M W ,230I  ,BLK,2025,2,BMW
B M W ,230I  ,BLK,2026,1,BMW
B M W ,230I  ,BLU,2026,1,BMW
B M W ,230I  ,GRY,2025,1,BMW
B M W ,230I  ,GRY,2026,2,BMW
B M W ,230I  ,RED,2026,1,BMW
B M W ,330   ,BLU,2026,1,BMW
B M W ,330   ,GRY,2026,1,BMW
B M W ,330I  ,BLK,2025,1,BMW
B M W ,330I  ,BLK,2026,9,BMW
B M W ,330I  ,BLU,2026,3,BMW
B M W ,330I  ,GRY,2026,5,BMW
B M W ,330I  ,RED,2026,1,BMW
B M W ,330I  ,WHI,2026,6,BMW
B M W ,330I T,GRY,2025,1,BMW
B M W ,420I  ,BLK,2026,1,BMW
B M W ,420I  ,WHI,2026,1,BMW
B M W ,420I C,RED,2025,1,BMW
B M W ,430I  ,BLK,2025,2,BMW
B M W ,430I  ,BLU,2025,1,BMW
B M W ,430I  ,GRY,2025,1,BMW
B M W ,430I  ,WHI,2025,2,BMW
B M W ,520I  ,BLK,2026,1,BMW
B M W ,520I S,GRY,2025,1,BMW
B M W ,740   ,GRY,2025,1,BMW
B M W ,740I  ,GRY,2025,1,BMW
B M W ,840I  ,GRY,2026,1,BMW
B M W ,C 400 ,BLK,2026,1,BMW
B M W ,C400GT,BLU,2026,1,BMW
B M W ,F 800 ,BLK,2026,1,BMW
B M W ,F 800 ,BLU,2026,2,BMW
B M W ,F 900 ,BLU,2026,3,BMW
B M W ,F 900 ,GRN,2026,1,BMW
B M W ,F800 G,BLK,2026,1,BMW
B M W ,G 310 ,BLK,2026,3,BMW
B M W ,G 310 ,GRY,2026,2,BMW
B M W ,G 310R,BLU,2026,1,BMW
B M W ,G310GS,RED,2026,1,BMW
B M W ,G310R ,BLK,2026,4,BMW
B M W ,G310R ,BLU,2026,1,BMW
B M W ,G310R ,GRY,2026,1,BMW
B M W ,I4    ,BLK,2026,7,BMW
B M W ,I4    ,BLU,2026,1,BMW
B M W ,I4    ,GRY,2025,1,BMW
B M W ,I4    ,WHI,2025,7,BMW
B M W ,I4    ,WHI,2026,3,BMW
B M W ,I4 35 ,BLK,2025,1,BMW
B M W ,I4 35 ,BLK,2026,3,BMW
B M W ,I4 35 ,GRY,2026,1,BMW
B M W ,I4 35 ,WHI,2025,1,BMW
B M W ,I4 35 ,WHI,2026,1,BMW
B M W ,I4 EDR,BLK,2026,2,BMW
B M W ,I4 M50,BLK,2025,3,BMW
B M W ,I4 M50,GRY,2025,4,BMW
B M W ,I5 M60,WHI,2025,1,BMW
B M W ,I7    ,WHI,2025,1,BMW
B M W ,IX    ,BLK,2025,1,BMW
B M W ,IX    ,BLK,2026,5,BMW
B M W ,IX    ,GRY,2025,1,BMW
B M W ,IX    ,GRY,2026,2,BMW
B M W ,IX    ,WHI,2026,1,BMW
B M W ,IX 45 ,BLU,2025,1,BMW
B M W ,IX 45 ,BLU,2026,1,BMW
B M W ,IX 45 ,GRY,2026,1,BMW
B M W ,IX 45 ,WHI,2026,1,BMW
B M W ,IX X45,BLK,2026,1,BMW
B M W ,IX X45,BLU,2026,2,BMW
B M W ,IX1   ,BLK,2025,4,BMW
B M W ,IX1   ,BLK,2026,6,BMW
B M W ,IX1   ,BLU,2025,2,BMW
B M W ,IX1   ,BLU,2026,3,BMW
B M W ,IX1   ,GRN,2026,1,BMW
B M W ,IX1   ,GRY,2026,1,BMW
B M W ,IX1   ,SIL,2025,4,BMW
B M W ,IX1   ,SIL,2026,2,BMW
B M W ,IX1   ,WHI,2025,10,BMW
B M W ,IX1   ,WHI,2026,7,BMW
B M W ,IX1 30,BLK,2025,1,BMW
B M W ,IX1 30,BLK,2026,3,BMW
B M W ,IX1 30,BLU,2026,1,BMW
B M W ,IX1 30,GRN,2026,3,BMW
B M W ,IX1 30,SIL,2025,1,BMW
B M W ,IX1 30,SIL,2026,1,BMW
B M W ,IX1 30,WHI,2025,1,BMW
B M W ,IX1 30,WHI,2026,2,BMW
B M W ,IX2   ,BLK,2025,7,BMW
B M W ,IX2   ,BLK,2026,1,BMW
B M W ,IX2   ,BLU,2025,6,BMW
B M W ,IX2   ,BLU,2026,1,BMW
B M W ,IX2   ,GRN,2025,1,BMW
B M W ,IX2   ,GRY,2025,6,BMW
B M W ,IX2   ,GRY,2026,7,BMW
B M W ,IX2   ,MRN,2025,1,BMW
B M W ,IX2   ,RED,2025,5,BMW
B M W ,IX2   ,RED,2026,1,BMW
B M W ,IX2   ,WHI,2025,4,BMW
B M W ,IX2   ,WHI,2026,3,BMW
B M W ,IX2 20,BLK,2025,1,BMW
B M W ,IX2 20,RED,2025,2,BMW
B M W ,IX2 30,BLK,2026,2,BMW
B M W ,IX2 30,GRN,2026,1,BMW
B M W ,IX2 30,GRY,2025,1,BMW
B M W ,IX2 30,GRY,2026,1,BMW
B M W ,IX2 30,WHI,2026,1,BMW
B M W ,IX2 ED,BLK,2025,1,BMW
B M W ,IX2 ED,GRN,2026,1,BMW
B M W ,IX2 XD,WHI,2025,1,BMW
B M W ,IXL   ,WHI,2026,1,BMW
B M W ,K 1600,BLK,2026,1,BMW
B M W ,M 1000,BLK,2026,4,BMW
B M W ,M 1000,SIL,2025,1,BMW
B M W ,M 1000,SIL,2026,2,BMW
B M W ,M 1000,WHI,2026,4,BMW
B M W ,M1000 ,WHI,2026,1,BMW
B M W ,M1000R,WHI,2026,1,BMW
B M W ,M135  ,BLK,2025,1,BMW
B M W ,M135  ,BLK,2026,1,BMW
B M W ,M135  ,GRY,2025,2,BMW
B M W ,M135  ,WHI,2025,1,BMW
B M W ,M135I ,GRY,2025,1,BMW
B M W ,M2    ,BLU,2025,1,BMW
B M W ,M2    ,BLU,2026,2,BMW
B M W ,M2    ,GRN,2026,1,BMW
B M W ,M2    ,GRY,2026,5,BMW
B M W ,M2 COU,GRN,2026,1,BMW
B M W ,M2 COU,GRY,2026,1,BMW
B M W ,M2 CS ,BLK,2026,1,BMW
B M W ,M2 CS ,BLU,2026,1,BMW
B M W ,M235  ,BLK,2025,1,BMW
B M W ,M235  ,RED,2025,1,BMW
B M W ,M240I ,BLK,2026,2,BMW
B M W ,M240I ,GRY,2026,2,BMW
B M W ,M240I ,RED,2026,1,BMW
B M W ,M240I ,WHI,2026,2,BMW
B M W ,M3    ,BLK,2026,2,BMW
B M W ,M3    ,GRY,2025,1,BMW
B M W ,M3    ,GRY,2026,3,BMW
B M W ,M3 COM,BLU,2026,1,BMW
B M W ,M3 COM,GRN,2026,1,BMW
B M W ,M3 COM,GRY,2025,2,BMW
B M W ,M3 COM,GRY,2026,4,BMW
B M W ,M3 COM,OGE,2026,1,BMW
B M W ,M3 COM,WHI,2025,1,BMW
B M W ,M3 COM,WHI,2026,2,BMW
B M W ,M3 CS ,BLU,2025,1,BMW
B M W ,M340I ,BLK,2026,2,BMW
B M W ,M340I ,BLU,2026,1,BMW
B M W ,M340I ,GRY,2026,6,BMW
B M W ,M340I ,WHI,2026,3,BMW
B M W ,M4    ,BLU,2026,1,BMW
B M W ,M4 COM,WHI,2025,1,BMW
